,close,high,low,open,time,volumefrom,volumeto,timestamp
1573,6313.15,6315.78,6305.73,6307.55,1530475500,17.94,113358.99,2018-07-01 16:05:00
1574,6310.88,6316.7,6309.94,6313.23,1530475560,19.28,122204.7,2018-07-01 16:06:00
1575,6315.04,6315.04,6307.11,6310.88,1530475620,19.49,123385.84,2018-07-01 16:07:00
1576,6313.13,6316.42,6306.49,6315.04,1530475680,36.72,231813.09,2018-07-01 16:08:00
1577,6313.03,6316.95,6310.25,6313.07,1530475740,13.23,83829.28,2018-07-01 16:09:00
1578,6309.94,6317.0,6306.72,6313.03,1530475800,10.24,65054.29,2018-07-01 16:10:00
1579,6308.56,6316.56,6305.63,6309.94,1530475860,16.36,103513.51,2018-07-01 16:11:00
1580,6305.42,6316.75,6304.81,6308.56,1530475920,14.6,92176.48,2018-07-01 16:12:00
1581,6309.92,6317.23,6305.18,6305.42,1530475980,12.51,79281.83,2018-07-01 16:13:00
1582,6303.6,6316.37,6303.41,6309.92,1530476040,19.7,124566.64,2018-07-01 16:14:00
1583,6311.49,6312.49,6303.57,6303.6,1530476100,15.59,98380.9,2018-07-01 16:15:00
1584,6308.48,6314.8,6304.14,6311.49,1530476160,20.69,130155.95,2018-07-01 16:16:00
1585,6308.1,6311.49,6304.93,6308.38,1530476220,10.75,68077.1,2018-07-01 16:17:00
1586,6308.48,6312.28,6302.76,6308.11,1530476280,15.77,99620.29,2018-07-01 16:18:00
1587,6313.07,6313.87,6306.37,6308.48,1530476340,5.83,36730.58,2018-07-01 16:19:00
1588,6307.86,6313.1,6298.49,6313.07,1530476400,7.13,44949.53,2018-07-01 16:20:00
1589,6309.68,6309.68,6299.26,6307.86,1530476460,22.3,141016.97,2018-07-01 16:21:00
1590,6300.31,6310.58,6299.17,6309.68,1530476520,19.44,123019.17,2018-07-01 16:22:00
1591,6301.27,6311.02,6300.16,6300.28,1530476580,14.81,93857.55,2018-07-01 16:23:00
1592,6311.58,6311.58,6299.91,6301.2,1530476640,13.29,84030.77,2018-07-01 16:24:00
1593,6307.63,6315.14,6303.93,6311.58,1530476700,20.82,132124.25,2018-07-01 16:25:00
1594,6318.74,6318.74,6305.16,6308.57,1530476760,31.79,201059.94,2018-07-01 16:26:00
1595,6321.65,6322.18,6315.27,6318.31,1530476820,39.97,253105.21,2018-07-01 16:27:00
1596,6318.31,6323.5,6314.72,6321.55,1530476880,23.66,149932.62,2018-07-01 16:28:00
1597,6334.24,6334.92,6318.2,6318.2,1530476940,207.46,1317853.44,2018-07-01 16:29:00
1598,6368.59,6378.28,6324.13,6324.13,1530477000,895.37,5722008.48,2018-07-01 16:30:00
